%Y-%m-%d;SP500INDEX
1990-01-31;329.08
1990-02-28;331.89
1990-03-31;339.94
1990-04-30;330.8
1990-05-31;361.23
1990-06-30;358.02
1990-07-31;356.15
1990-08-31;322.56
1990-09-30;306.05
1990-10-31;304
1990-11-30;322.22
1990-12-31;330.22
1991-01-31;343.93
1991-02-28;367.07
1991-03-31;375.22
1991-04-30;375.34
1991-05-31;389.83
1991-06-30;371.16
1991-07-31;387.81
1991-08-31;395.43
1991-09-30;387.86
1991-10-31;392.45
1991-11-30;375.22
1991-12-31;417.09
1992-01-31;408.78
1992-02-29;412.7
1992-03-31;403.69
1992-04-30;414.95
1992-05-31;415.35
1992-06-30;408.14
1992-07-31;424.21
1992-08-31;414.03
1992-09-30;417.8
1992-10-31;418.68
1992-11-30;431.35
1992-12-31;435.71
1993-01-31;438.78
1993-02-28;443.38
1993-03-31;451.67
1993-04-30;440.19
1993-05-31;450.19
1993-06-30;450.53
1993-07-31;448.13
1993-08-31;463.56
1993-09-30;458.93
1993-10-31;467.83
1993-11-30;461.79
1993-12-31;466.45
1994-01-31;481.61
1994-02-28;467.14
1994-03-31;445.77
1994-04-30;450.91
1994-05-31;456.5
1994-06-30;444.27
1994-07-31;458.26
1994-08-31;475.49
1994-09-30;462.71
1994-10-31;472.35
1994-11-30;453.69
1994-12-31;459.27
1995-01-31;470.42
1995-02-28;487.39
1995-03-31;500.71
1995-04-30;514.71
1995-05-31;533.4
1995-06-30;544.75
1995-07-31;562.06
1995-08-31;561.88
1995-09-30;584.41
1995-10-31;581.5
1995-11-30;605.37
1995-12-31;615.93
1996-01-31;636.02
1996-02-29;640.43
1996-03-31;645.5
1996-04-30;654.17
1996-05-31;669.12
1996-06-30;670.63
1996-07-31;639.95
1996-08-31;651.99
1996-09-30;687.33
1996-10-31;705.27
1996-11-30;757.02
1996-12-31;740.74
1997-01-31;786.16
1997-02-28;790.82
1997-03-31;757.12
1997-04-30;801.34
1997-05-31;848.28
1997-06-30;885.14
1997-07-31;954.31
1997-08-31;899.47
1997-09-30;947.28
1997-10-31;914.62
1997-11-30;955.4
1997-12-31;970.43
1998-01-31;980.28
1998-02-28;1049.34
1998-03-31;1101.75
1998-04-30;1111.75
1998-05-31;1090.82
1998-06-30;1133.84
1998-07-31;1120.67
1998-08-31;957.28
1998-09-30;1017.01
1998-10-31;1098.67
1998-11-30;1163.63
1998-12-31;1229.23
1999-01-31;1279.64
1999-02-28;1238.33
1999-03-31;1286.37
1999-04-30;1335.18
1999-05-31;1301.84
1999-06-30;1372.71
1999-07-31;1328.72
1999-08-31;1320.41
1999-09-30;1282.71
1999-10-31;1362.93
1999-11-30;1389.07
1999-12-31;1469.25
2000-01-31;1394.46
2000-02-29;1366.42
2000-03-31;1498.58
2000-04-30;1452.43
2000-05-31;1420.6
2000-06-30;1454.6
2000-07-31;1430.83
2000-08-31;1517.68
2000-09-30;1436.51
2000-10-31;1429.4
2000-11-30;1314.95
2000-12-31;1320.28
2001-01-31;1366.01
