%Y-%m-%d;FUSEX;FBIDX;VANUS
1996-07-01;-1.09;-0.03;-0.9
1996-08-01;0.49;-0.08;2.3
1996-09-01;1.22;0.11;2.7
1996-10-01;0.69;0.17;1.8
1996-11-01;1.95;0.12;3.1
1996-12-01;-0.84;-0.16;-0.5
1997-01-01;1.68;-0.04;2.2
1997-02-01;0.22;-0.04;1.8
1997-03-01;-1.31;-0.17;-0.7
1997-04-01;1.53;0.1;-0.4
1997-05-01;1.77;0.02;3.7
1997-06-01;1.22;0.07;2
1997-07-01;2.55;0.21;4.5
1997-08-01;-1.94;-0.15;0.2
1997-09-01;1.64;0.1;3.8
1997-10-01;-1.14;0.09;-2.1
1997-11-01;1.52;-0.01;0.1
1997-12-01;0.29;0.05;1.5
1998-01-01;0.39;0.08;1.1
1998-02-01;2.53;-0.07;3.9
1998-03-01;1.79;-0.02;2.6
1998-04-01;0.06;-0.01;1.2
1998-05-01;-0.7;0.04;-1
1998-06-01;1.44;0.04;0.7
1998-07-01;-0.43;-0.03;0.4
1998-08-01;-5.79;0.13;-5.1
1998-09-01;2.06;0.2;-2
1998-10-01;2.95;-0.12;0.7
1998-11-01;2.38;0.01;2.5
1998-12-01;2.31;-0.02;2.3
1999-01-01;1.77;0.03;1.2
1999-02-01;-1.44;-0.25;-0.2
1999-03-01;1.65;0.01;1.9
1999-04-01;1.63;-0.07;3.3
1999-05-01;-1.14;-0.16;0.5
1999-06-01;2.42;-0.1;2.2
1999-07-01;-1.52;-0.1;0.5
1999-08-01;-0.25;-0.06;1.1
1999-09-01;-1.43;0.06;0.4
1999-10-01;2.87;-0.04;2.5
1999-11-01;0.98;-0.05;5.3
1999-12-01;2.58;-0.1;5.9
2000-01-01;-2.63;-0.09;1.7
2000-02-01;-0.94;0.07;6.2
2000-03-01;4.6;0.08;0.2
2000-04-01;-1.6;-0.1;-2.9
2000-05-01;-1.08;-0.07;-1.3
2000-06-01;1.13;0.15;1.2
2000-07-01;-0.82;0.02;-0.1
2000-08-01;3.15;0.09;3.1
2000-09-01;-2.97;0.01;-1.7
2000-10-01;-0.22;0.01;0.1
2000-11-01;-3.99;0.11;-0.7
2000-12-01;0.09;0.12;2.9
2001-01-01;1.65;0.1;2.2
2001-02-01;-4.42;0.03;-0.8
2001-03-01;-2.9;0;0.5
2001-04-01;3.15;-0.1;0.7
2001-05-01;0.29;0.01;0.6
2001-06-01;-1.1;-0.02;0.5
2001-07-01;-0.54;0.19;-0.6
2001-08-01;-2.69;0.07;-0.2
2001-09-01;-3.4;0.1;-2.3
2001-10-01;0.71;0.16;1.4
2001-11-01;2.87;-0.21;1
2001-12-01;0.21;-0.12;1.1
2002-01-01;-0.61;0.03;-0.1
2002-02-01;-0.77;0.07;-0.3
2002-03-01;1.34;-0.23;1.4
2002-04-01;-2.46;0.16;0.3
2002-05-01;-0.29;0.05;1.6
2002-06-01;-2.8;0.03;-0.5
2002-07-01;-2.73;0.06;-1.3
2002-08-01;0.21;0.17;0.4
2002-09-01;-3.65;0.11;-1.1
2002-10-01;2.55;-0.08;-0.5
2002-11-01;1.93;-0.03;2.2
2002-12-01;-2.21;0.1;1.3
2003-01-01;-0.82;-0.02;0.6
2003-02-01;-0.46;0.13;0.3
2003-03-01;0.16;-0.03;0
2003-04-01;2.48;0.04;1.7
2003-05-01;1.71;0.17;2.5
2003-06-01;0.31;-0.04;0.9
2003-07-01;0.61;-0.43;0.4
2003-08-01;0.68;0.04;0.9
2003-09-01;-0.52;0.28;1.1
2003-10-01;1.99;-0.13;1.6
2003-11-01;0.33;-0.01;0.9
