%Y-%m-%d;Y;X2;X3
1958-12-31;16607.7;275.5;17803.7
1959-12-31;17511.3;274.4;18096.8
1960-12-31;20171.2;269.7;18271.8
1961-12-31;20932.9;267;19167.3
1962-12-31;20406;267.8;19647.6
1963-12-31;20831.6;275;20803.5
1964-12-31;24806.3;283;22076.6
1965-12-31;26465.8;300.7;23445.2
1966-12-31;27403;307.5;24939
1967-12-31;28628.7;303.7;26713.7
1968-12-31;29904.5;304.7;29957.8
1969-12-31;27508.2;298.6;31585.9
1970-12-31;29035.5;295.5;33474.5
1971-12-31;29281.5;299;34821.8
1972-12-31;31535.8;288.1;41794.3
